Title,Rated
The BFG,PG
The Croods,PG
Rango,PG
Dragonball: Evolution,PG
Turbo,PG
Happy Feet Two,PG
Penguins of Madagascar,PG
Harry Potter and the Prisoner of Azkaban,PG
Kung Fu Panda,PG
Home,PG
Puss in Boots,PG
Megamind,PG
The Adventures of Tintin,PG
Dinosaur,PG
Night at the Museum: Secret of the Tomb,PG
Harry Potter and the Sorcerer's Stone,PG
How the Grinch Stole Christmas,PG
Theodore Rex,PG
Fantastic 4: Rise of the Silver Surfer,PG
Life of Pi,PG
Stuart Little 2,PG
Speed Racer,PG
Trolls,PG
Star Wars: Episode I - The Phantom Menace,PG
Laserblast,PG
Star Wars: Episode II - Attack of the Clones,PG
Gulliver's Travels,PG
Night at the Museum,PG
Ed,PG
The Smurfs,PG
The Smurfs 2,PG
Home on the Range,PG
Around the World in 80 Days,PG
The Cat in the Hat,PG
Stuart Little,PG
Harry Potter and the Chamber of Secrets,PG
National Treasure,PG
Cloudy with a Chance of Meatballs,PG
Epic,PG
Where the Wild Things Are,PG
Eragon,PG
Surf's Up,PG
Legend of the Guardians: The Owls of Ga'Hoole,PG
Treasure Planet,PG
The Spanish Prisoner,PG
Cinderella,PG
Ice Age: Continental Drift,PG
The Bat People,PG
Percy Jackson & the Olympians: The Lightning Thief,PG
The Road to El Dorado,PG
The Spiderwick Chronicles,PG
The Incredibles,PG
The Secret Life of Walter Mitty,PG
Ice Age: Dawn of the Dinosaurs,PG
Contact,PG
Alvin and the Chipmunks: The Road Chip,PG
Atlantis: The Lost Empire,PG
The Haunted Mansion,PG
102 Dalmatians,G
Charlotte's Web,G
Alvin and the Chipmunks: Chipwrecked,G
Spirit: Stallion of the Cimarron,G
Fantasia 2000,G
Oceans,G
Babe: Pig in the City,G
Cars,G
City Lights,G
The Santa Clause 2,G
Modern Times,G
Chicken Little,G
The Tale of Despereaux,G
The Lion King,G
Pocahontas,G
Anastasia,G
WALL·E,G
Herbie Fully Loaded,G
Curious George,G
A Bug's Life,G
The Princess Diaries 2: Royal Engagement,G
Toy Story 3,G
Chicken Run,G
Cleopatra,G
2001: A Space Odyssey,G
Toy Story,G
The Magic Sword: Quest for Camelot,G
Space Chimps,G
